Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка Апартаменты,3-комн,Лубянка,5 мин. пешком,2,122,Дизайнерский,2015,,Монолитный,180 842 760 
Вторичка,5-комн,Кузнецкий мост,5 мин. пешком,7,"296,4",Без ремонта,,,,338 537 646 
Вторичка,3-комн,Шаболовская,8 мин. пешком,15,90,Без ремонта,2006,,Блочный,29 990 000 
Вторичка,2-комн,Автозаводская,50 мин. пешком,1,43,Косметический,1962,,,8 750 000 
Вторичка Апартаменты,2-комн,Дмитровская,15 мин. пешком,33,66,Без ремонта,,,,13 100 000 
Вторичка,3-комн,Академическая,8 мин. пешком,16,90,Дизайнерский,2003,,Монолитный,25 000 000 
Вторичка,1-комн,Юго-Восточная, откроется в 2019,5,33,Косметический,1967,,Панельный,5 700 000 
Вторичка Апартаменты,3-комн,Красные ворота,11 мин. пешком,5,"83,8",Косметический,2018,,Монолитный,25 140 000 
Вторичка,3-комн,Люблино,7 мин. пешком,8,61,Без ремонта,1975,,Панельный,7 800 000 
Вторичка Апартаменты,1-комн,Комсомольская,6 мин. пешком,7,"45,3",,2017,,Монолитный,15 500 000 
Новостройка,4-комн,Кунцевская,3 мин. на транспорте,26,"124,84",,,2022,,20 815 777 
Новостройка,4-комн,Кунцевская,3 мин. на транспорте,26,"114,59",,,2022,,22 912 589 
Вторичка,3-комн,Беговая,15 мин. пешком,1,70,Косметический,1939,,Кирпичный,14 499 000 
Вторичка Апартаменты,1-комн,Комсомольская,5 мин. пешком,14,"48,7",,2017,,Монолитный,14 804 800 
Вторичка,3-комн,Измайловская,6 мин. пешком,4,144,Евроремонт,2011,,Монолитный,34 000 000 
Вторичка,4-комн,Кутузовская,7 мин. пешком,3,106,Евроремонт,1939,,Кирпичный,28 000 000 
Вторичка,2-комн,Войковская,14 мин. пешком,1,"53,5",Косметический,1998,,Монолитный,9 200 000 
